ICAO24,Callsign,Origin,TimePos,LastContact,Long,Lat,Alt,OnGround,Speed,Heading,VertRate,Sensors,GeoAlt,Squawk,SPI,Source
c034b2,TXH5005 ,Canada,2025-05-01 12:49:15,2025-05-01 12:49:15,-73.9309,45.6858,No Data,Yes,0.0,306.56,No Data,No Data,No Data,No Data,False,0
c020d3,CFMLE   ,Canada,2025-05-01 12:50:46,2025-05-01 12:50:46,-73.0408,45.5596,563.88,No,48.23,78.93,-1.3,No Data,541.02,No Data,False,0
c020f0,CFMMH   ,Canada,2025-05-01 12:50:46,2025-05-01 12:50:46,-73.3841,45.4931,457.2,No,51.14,233.59,-1.95,No Data,495.3,No Data,False,0
c058c3,ACA809  ,Canada,2025-05-01 12:50:45,2025-05-01 12:50:45,-72.7699,46.9508,12184.38,No,221.3,236.09,0.0,No Data,12321.54,0513,False,0
70209e,BBC305  ,Bangladesh,2025-05-01 12:50:46,2025-05-01 12:50:46,-72.6657,46.0729,11582.4,No,211.74,256.37,0.0,No Data,11765.28,0743,False,0
c031fe,CFSYF   ,Canada,2025-05-01 12:50:45,2025-05-01 12:50:45,-72.7927,45.2449,365.76,No,66.75,256.18,-5.85,No Data,381.0,No Data,False,0
c07a51,CGUII   ,Canada,2025-05-01 12:50:46,2025-05-01 12:50:46,-73.4596,45.3864,304.8,No,55.96,60.84,-2.28,No Data,289.56,No Data,False,0
440184,AUA65   ,Austria,2025-05-01 12:50:46,2025-05-01 12:50:46,-77.4999,45.1045,11574.78,No,209.87,251.12,0.0,No Data,11811.0,2532,False,0
c07ad2,CGUNH   ,Canada,2025-05-01 12:50:46,2025-05-01 12:50:46,-77.4943,45.2808,6400.8,No,120.79,52.79,0.0,No Data,6507.48,2257,False,0
a5d197,BTQ863  ,United States,2025-05-01 12:50:46,2025-05-01 12:50:46,-73.2528,44.1411,6050.28,No,161.43,126.58,-4.55,No Data,6195.06,No Data,False,0
a47517,N3868U  ,United States,2025-05-01 12:50:46,2025-05-01 12:50:46,-74.1046,44.678,1645.92,No,66.35,146.06,0.0,No Data,1645.92,No Data,False,0
aae719,N801RP  ,United States,2025-05-01 12:46:19,2025-05-01 12:46:19,-73.3887,44.6409,541.02,No,55.95,327.77,-2.6,No Data,579.12,No Data,False,0
a3a8f5,LXJ335  ,United States,2025-05-01 12:50:45,2025-05-01 12:50:45,-78.063,43.7605,9448.8,No,262.41,76.51,0.0,No Data,9700.26,6317,False,0
aa2ed8,RPA3689 ,United States,2025-05-01 12:50:46,2025-05-01 12:50:46,-73.4584,44.5574,906.78,No,135.51,63.63,-6.83,No Data,937.26,6530,False,0
c02725,00000000,Canada,2025-05-01 12:49:01,2025-05-01 12:49:07,-74.018,45.6876,No Data,Yes,0.06,315.0,No Data,No Data,No Data,No Data,False,0
